ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
IND,India,rural,Drinking water,2016,53.62719,474485269.2231,Safely managed service
IND,India,total,Drinking water,2016,0.78632,10412194.01471,Surface water
IND,India,rural,Drinking water,2016,1.00821,8920519.01771,Surface water
IND,India,urban,Drinking water,2016,0.33949,1491675.04889,Surface water
IND,India,total,Sanitation,2016,2.44786,32413834.25881,Unimproved
IND,India,rural,Sanitation,2016,2.70122,23899953.36319,Unimproved
IND,India,urban,Sanitation,2016,1.93767,8513849.69325,Unimproved
IND,India,total,Drinking water,2016,6.27064,83034045.5752,Unimproved
IND,India,rural,Drinking water,2016,7.67002,67863188.60956,Unimproved
IND,India,urban,Drinking water,2016,3.45273,15170826.03308,Unimproved
IND,India,total,Sanitation,2017,59.54345,797394045.77913,At least basic
IND,India,urban,Sanitation,2017,72.01223,324029493.24975,At least basic
IND,India,total,Drinking water,2017,92.67464,1241080426.6583,At least basic
IND,India,urban,Drinking water,2017,95.99302,431934541.62914,At least basic
IND,India,total,Hygiene,2017,59.54969,797477600.58642,Basic service
IND,India,rural,Hygiene,2017,49.32272,438585296.37548,Basic service
IND,India,urban,Hygiene,2017,79.76013,358892288.50072,Basic service
IND,India,rural,Sanitation,2017,14.18815,126163243.09331,Basic service
IND,India,rural,Drinking water,2017,34.99942,311220268.5368,Basic service
IND,India,total,Hygiene,2017,37.70641,504956781.66569,Limited service
IND,India,rural,Hygiene,2017,47.38889,421389414.06054,Limited service
IND,India,urban,Hygiene,2017,18.57199,83567352.37154,Limited service
IND,India,total,Sanitation,2017,12.50274,167434236.24674,Limited service
IND,India,rural,Sanitation,2017,7.87387,70015647.6209,Limited service
IND,India,urban,Sanitation,2017,21.65028,97418586.13926,Limited service
IND,India,total,Drinking water,2017,0.76449,10237884.15476,Limited service
IND,India,rural,Drinking water,2017,0.99481,8845967.30262,Limited service
IND,India,urban,Drinking water,2017,0.30934,1391916.53216,Limited service
IND,India,total,Hygiene,2017,2.7439,36745777.74789,No handwashing facility
IND,India,rural,Hygiene,2017,3.28839,29240905.56398,No handwashing facility
IND,India,urban,Hygiene,2017,1.66788,7504871.12773,No handwashing facility
IND,India,total,Sanitation,2017,25.73109,344585706.21104,Open defecation
IND,India,rural,Sanitation,2017,36.34573,323191904.8197,Open defecation
IND,India,urban,Sanitation,2017,4.75455,21393789.68489,Open defecation
IND,India,rural,Sanitation,2017,39.04579,347201292.44627,Safely managed service
IND,India,rural,Drinking water,2017,55.99605,497925587.38581,Safely managed service
IND,India,total,Drinking water,2017,0.75357,10091704.65942,Surface water
IND,India,rural,Drinking water,2017,0.95998,8536310.4922,Surface water
IND,India,urban,Drinking water,2017,0.34567,1555393.85854,Surface water
IND,India,total,Sanitation,2017,2.22272,29766171.76309,Unimproved
IND,India,rural,Sanitation,2017,2.54646,22643528.01981,Unimproved
IND,India,urban,Sanitation,2017,1.58293,7122642.9261,Unimproved
IND,India,total,Drinking water,2017,5.8073,77770144.52752,Unimproved
IND,India,rural,Drinking water,2017,7.04975,62687482.28257,Unimproved
IND,India,urban,Drinking water,2017,3.35197,15082659.98016,Unimproved
